Stop_id,Stop Name,Lat,Lng
681,AlwarThirunagar,13.03989,80.18603
682,KalaignarNagarWest,13.0444,80.19389
685,AngalammanKoil,13.03182,80.18337
686,Ramapuram(L.N.PKoil),13.03327,80.17479
692,Maduravoyal,13.0615,80.1644
698,Melpakkam,13.08633,80.1087
699,Govardanagiri,13.10038,80.10836
700,Mettupalayam,13.08088,80.09572
701,Padurmedu,13.04729,80.0257
703,IndiraNagarWaterTank,12.99507,80.25277
704,IndiraNagar,12.99235,80.25607
707,Panaiyur,12.89966,80.2474
709,WOMEN_POLYTECHNIC,12.99889,80.24861
713,Kotturpuram,13.01995,80.24105
720,KANDAN_CHAVADI,12.96082,80.24534
728,GurunanakCollege,12.98758,80.22303
731,ENGG_COLLEGE,13.00857,80.23144
732,SAIDAPET_COURT,13.01551,80.2256
733,Jn.OfRaceCourseRd,13.00661,80.22054
739,VelacheryHospital,12.97869,80.22148
741,VelacheryVijayaNagar,12.97554,80.22058
743,CONCORDE,13.01228,80.22159
747,GuindyR.S,13.00713,80.20891
752,SecretariatColony,12.99446,80.20655
753,ButtRoad,13.00757,80.19608
757,StThomasMountPo,13.00177,80.20009
759,Vanuvambedu,12.98557,80.19736
760,PadavattammanSchool,12.99527,80.20114
761,AdambakkamP.S,12.98942,80.20204
763,HinduVidyalaya,12.98511,80.20504
764,PonniammanKoilRd.Jn.,12.96475,80.19615
767,Jn.Of.PalavanthangalGst,12.9941,80.18565
768,MENAMABAKKAM_OLD_AIRPORT,12.9899,80.17953
770,ChidambaramStores,12.98106,80.18809
774,Nanganallur,12.98047,80.18286
776,PuzhithivakkamB.S,12.9747,80.20346
777,Moovarasanpet,12.96991,80.18638
782,ThirusoolamNationalAirp,12.98043,80.16495
784,MadipakkamRd.Jn.,12.96605,80.18866
786,Velappanchavadi,13.0615,80.13814
790,Kumunanchavadi,13.04479,80.11634
792,Vaanagaram,13.06134,80.15153
793,VaradarajaPuram,13.04704,80.07943
794,Meppur,13.02931,80.08338
795,PORUR,13.03475,80.15616
796,RamachandraMedl.College,13.03672,80.14249
797,AyyappanThangal,13.03901,80.13376
799,Poonamallee,13.04931,80.10443
802,Thirumalisai,13.05373,80.0633
803,KattuKootRoad,13.01551,79.92774
804,Mogalivakkam,13.03015,80.16767
806,ManapakkamP.U.O,13.01659,80.17713
807,Moulivakkam,13.01986,80.14312
809,MuruganKoil/Girugambak,13.01074,80.14057
812,Periyapanicheri,13.01419,80.13434
815,Paraniputhur,13.02112,80.12492
816,Mangadu,13.0273,80.1105
817,Koovoor,13.01026,80.11831
818,Kollaicheri,13.00924,80.10115
820,Valasaravakkam,13.04139,80.17432
823,PudupeirCootRoad,12.976,80.0498
824,AmarambeduChatram,12.96826,80.02351
825,KundrathurB.S,12.99803,80.09651
826,Anakaputhur,12.98348,80.12655
827,Kamarajapuram,12.97052,80.12115
829,Nagalkeni,12.95939,80.13033
831,SriSankaraHealthCentre,12.96617,80.1269
832,Pammal,12.97495,80.13411
834,Kilkattalai,12.95409,80.18601
840,Narayanapuram,12.93898,80.20526
842,KumaranKundram,12.94229,80.1417
843,Vellaikal,12.93413,80.18183
844,ChitlapakkamB.S,12.93612,80.14741
848,NationalHighSchool,12.93561,80.13057
849,T.B.Sanatorium,12.93831,80.12896
850,BharathaMathaSt,12.92819,80.12698
852,Chrompet,12.95253,80.13994
856,Thiruneermalai,12.9645,80.11634
858,Kadaperi,12.93256,80.12375
860,Tambaram,12.92518,80.11552
865,Naduveerapattu,12.942,80.04948
869,AmarambeduRoad,12.94952,80.03669
870,AmarambeduVillage,12.95831,80.02017
872,Kannadapalayam,12.93639,80.10046
873,TambaramTownLimit,12.92552,80.1008
879,TambaramEast,12.92351,80.11788
883,Perungalathur(Old),12.91974,80.08707
885,Irumbuliyur,12.91774,80.10904
888,PushpagiriRd.Jn.,12.92183,80.01952
889,MullaiNagar,12.91598,80.06527
890,Vandaloor,12.89297,80.08647
891,Padappai,12.88578,80.01549
892,Guduvanchery,12.84185,80.0578
893,Perungulathur,12.90494,80.09548
894,S.I.V.E.html,12.92135,80.16673
895,Jn.OfMambakkamO.Bakka,12.89392,80.18023
904,Convent,12.92309,80.12621
905,MeppaduHospital,12.89121,80.14071
906,SriRamEngg.College,13.113,79.99343
907,Athur,13.25064,80.14166
908,Manchankaranai,13.27127,80.10666
909,Malrosapuram,12.83846,80.15571
910,PrithiyangaraDeviTemple,12.89988,80.23501
913,KamarajNagar,13.10702,80.09441
915,ForeShoreEstate,13.02421,80.27384
919,THORAPAKKAM,12.951034,80.241265
920,Nallur,13.28339,80.24405
927,Q.MArts(Men),12.92041,80.18337
1505,TARAMANI,12.986035,80.241066
1506,MADHYAKAILASH,13.006626,80.246391
1507,BROADWAY,13.088127,80.283756
1508,KOTTURPURAM,13.00762,80.24026
1509,C.I.T._COLONY,13.041421,80.258707
1510,BROADWAY,13.08664,80.28385
1511,BROADWAY,13.088305,80.282935
1512,KASTHURBAI_NAGAR,13.006164,80.247433
1513,KARAPAKKAM,12.913505,80.229147
1514,SEMMANCHERY,12.86976,80.22669
1515,PALAVASTIC_CHEMICALS,12.816585,80.22968
1516,HEC,12.803026,80.223672
1517,KELAMBAKKAM,12.786676,80.220558
2000,JAMUNA,12.98665,80.23866
2001,MAIN_GATE,13.00539,80.24188
2002,GAJENDRA_CIRCLE,12.99188,80.233718
2003,CAUVERY,12.986577,80.233278
2005,AGS,12.849816,80.226491
2006,Coffee Day,12.86022,80.2264
2007,SIPCOT,12.830205,80.229705
2008,TIDEL_PARK,12.98948,80.250859
2009,FISH_MARKET,12.893227,80.227376
2010,Odai,12.887946,80.227263
2011,Shozinganallaur,12.901785,80.227848
2094,KELAMBAKKAM,12.786305,80.221926
2099,Taramsg,12.457,79.4363
3003,Jayanthi Signal_Cutservice stop from Kelambakkam,12.987671,80.255752
3002,Gandhinagar_Cutservice stop Towards Adyar,13.006802,80.248402
3001,Sipcot IT Park_Cutservice stop,12.827929,80.219267
9999,Aaaalayam,971.11111,89
200034,Test stop,13.11863,80.20646
3100,Broadway,13.087596,80.283738
3101,Pondy Bazaar,13.040338,80.239431
3102,ESI Hospital,13.035214,80.208738
3103,Amutham,13.039797,80.193195
3104,DMS,13.047059,80.248352
3105,Park Town/Rippon Building,13.081297,80.273259
3106,Aynavaram Depot,13.09844,80.242292
3107,Dasaprakash,13.080876,80.25485
3108,Egmore Railway Station,13.077801,80.261976
3109,Ramachandra Hospital/SRMC,13.036559,80.142928
3110,Nandanam/YMCA,13.029063,80.23681
3111,Ramapuram,13.020983,80.183925
3112,Butt Road,13.008635,80.197825
3113,Guindy,13.00858,80.202424
3114,Guindy Railway Station/Guindy Air Scotts,13.009251,80.210712
3115,Saidapet/Bali Towers,13.018918,80.224303
3116,Thousand Lights/Church Park,13.056747,80.256667
3117,Kumananchavadi,13.044864,80.116036
3118,Kattupakkam,13.040646,80.128795
3119,Ranimeyammai,13.022757,80.263839
3120,Ranimeyammai,13.022914,80.263678
3121,Mandhaveli Bus Stand/CID Quarters,13.026527,80.263842
3122,Mandaveli Market/Post Office,13.02935,80.265687
3123,Mylapore Tank,13.03374,80.267835
3124,Queen_Marys_College,13.043319,80.277513
3125,Baby Hospital,13.075473,80.258785
3126,Dasaprakash,13.079687,80.254505
3127,Kambar Arangam,13.099025,80.219808
3128,Vanavil,13.040588,80.247036
3129,Iyyappan Koil/Amman Koil,13.039296,80.196936
3130,Ajantha,13.037271,80.195971
3131,Ajantha,13.037075,80.196431
3132,Amman Koil/Ayyapan Koil,13.04148,80.196607
3133,Anna Square/Madras University,13.065934,80.284035
3134,Parrys_Corner,13.088863,80.289717
3135,Pattinambakkam,13.026128,80.275338
3136,Adyar Malar Hospital,13.008488,80.258931
3137,Pattinambakkam_Arch,13.02531,80.274815
3138,Military Quarters,13.032125,80.242102
3139,Guindy/MKN Road,13.007289,80.209773
3140,Butt Road Kalyana Mandapam,13.010992,80.195515
3141,Mugalivakkam,13.029007,80.169151
3142,DLF/L&T,13.023807,80.17892
3143,I.C.F/I.C.F Quarters,13.100355,80.21509
3144,Dinathanthi/Commisioner Office,13.080424,80.263082
3145,Tambaram Mepz/Sanatorium,12.936701,80.127436
3146,Pallavaram Depot/Bus Stand,12.968621,80.149611
3147,Kasi Theatre,13.031519,80.209178
3148,Vadapalani,13.04839,80.211944
3149,CMBT,13.06878,80.20517
3150,Kasi Theatre,13.030218,80.209149
3151,Asarkana/Kathipara/Guindy Circle,13.003671,80.201072
3152,Chrompet,12.951758,80.140693
3153,Tambaram Mepz/Sanatorium,12.937008,80.128093
3154,Nathamuni ,13.103379,80.201712
3155,Albert Theatre,13.076343,80.264107
3156,Vijaykanth Chathiram,13.074195,80.200131
3157,Egmore Court/Commissioner Office,13.07289,80.261893
3158,Mental Hospital,13.090511,80.240799
3159,Commissioner Office,13.073685,80.261715
3160,Pudupet,13.071619,80.264633
3161,Motcham Theatre,13.08467,80.250119
3162,PTC Quarters/Mutakaranchavadi,12.934265,80.233206
3163,Chettinad Hospital,12.796304,80.222929
3164,Kazhipattur,12.819577,80.230362
3165,Navallur,12.844897,80.226492
3166,Semmenchery Alamaram,12.860492,80.226449
3167,Karapakkam,12.913505,80.229147
3168,PTC Quarters/Mutakaranchavadi,12.932945,80.232379
3169,Ambedkar College,13.118267,80.259182
3170,Puzhal Central Jail,13.164228,80.202287
3171,Sharma Nagar,13.120331,80.254626
3172,Madhavaram Depot,13.13195,80.237081
3173,Kanagachathiram,13.136228,80.231255
3174,Cycle Shop,13.153196,80.208167
3175,Kavankarai,13.170475,80.199187
3176,Red Hills Market,13.189566,80.187484
3177,Kavangarai,13.170355,80.199438
3178,Madhavaram Bypass,13.144035,80.220947
3179,Kanagachathiram,13.136702,80.230914
3180,Madhavaram Depot,13.132144,80.237124
3181,Moolakadai,13.128974,80.241594
3182,Sharma Nagar,13.120373,80.254826
3183,Doveton,13.0881,80.262047
3184,Doveton,13.086122,80.261682
3185,Adyar Bus Depot,12.996908,80.256731
3186,Chinnamalai/Little Mount/Saidapet Court,13.01538,80.224976
3187,Podi Kadai,13.097426,80.248148
3188,Otteri,13.097842,80.252587
3189,Pattalam,13.097346,80.258067
3190,Dashamakan,13.097547,80.254655
3191,Otteri,13.097735,80.252241
3192,Podi Kadai,13.097309,80.248186
3193,Aynavaram ESI,13.097333,80.242389
3194,Sayani,13.097751,80.238714
3195,Noor Hotel,13.098416,80.234901
3196,Railway Quarters,13.099781,80.225135
3197,TVS Lucas,13.101167,80.190176
3198,Railway Quarters,13.100081,80.226314
3199,Thirumangalam,13.087055,80.197986
3200,Collector Nagar/MM Hospital,13.087805,80.189885
3201,Tambaram Depot,12.926966,80.11798
3202,Tirusulam/Airport,12.980011,80.162639
3203,Adayar Bus Depot,12.998459,80.256085
3204,Park/Corporation Building/Central,13.08119,80.271156
3205,Indra Nagar Water Tank,12.995249,80.252874
